name,casrn,congener_number,category,cid,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,iupac_name,x_log_p,exact_mass,monoisotopic_mass,tpsa,h_bond_donor_count,h_bond_acceptor_count,volume3d
"2,3,3'-Trichlorobiphenyl",38444-84-7,20,Congener,38034,C12H7Cl3,257.5,C1=CC(=CC(=C1)Cl)C2=C(C(=CC=C2)Cl)Cl,C1=CC(=CC(=C1)Cl)C2=C(C(=CC=C2)Cl)Cl,"1,2-dichloro-3-(3-chlorophenyl)benzene",5.6,255.961333,255.961333,0,0,0,173.2
"2,3,4-Trichlorobiphenyl",55702-46-0,21,Congener,41541,C12H7Cl3,257.5,C1=CC=C(C=C1)C2=C(C(=C(C=C2)Cl)Cl)Cl,C1=CC=C(C=C1)C2=C(C(=C(C=C2)Cl)Cl)Cl,"1,2,3-trichloro-4-phenylbenzene",5.9,255.961333,255.961333,0,0,0,171.7
"2,3,4'-Trichlorobiphenyl",38444-85-8,22,Congener,38035,C12H7Cl3,257.5,C1=CC(=C(C(=C1)Cl)Cl)C2=CC=C(C=C2)Cl,C1=CC(=C(C(=C1)Cl)Cl)C2=CC=C(C=C2)Cl,"1,2-dichloro-3-(4-chlorophenyl)benzene",5.4,255.961333,255.961333,0,0,0,172
"2,3,5-Trichlorobiphenyl",55720-44-0,23,Congener,41555,C12H7Cl3,257.5,C1=CC=C(C=C1)C2=C(C(=CC(=C2)Cl)Cl)Cl,C1=CC=C(C=C1)C2=C(C(=CC(=C2)Cl)Cl)Cl,"1,2,5-trichloro-3-phenylbenzene",5.8,255.961333,255.961333,0,0,0,173.2
"2,3,6-Trichlorobiphenyl",55702-45-9,24,Congener,41540,C12H7Cl3,257.5,C1=CC=C(C=C1)C2=C(C=CC(=C2Cl)Cl)Cl,C1=CC=C(C=C1)C2=C(C=CC(=C2Cl)Cl)Cl,"1,2,4-trichloro-3-phenylbenzene",5.7,255.961333,255.961333,0,0,0,172.6
"2,3',4-Trichlorobiphenyl",55712-37-3,25,Congener,41551,C12H7Cl3,257.5,C1=CC(=CC(=C1)Cl)C2=C(C=C(C=C2)Cl)Cl,C1=CC(=CC(=C1)Cl)C2=C(C=C(C=C2)Cl)Cl,"2,4-dichloro-1-(3-chlorophenyl)benzene",5.6,255.961333,255.961333,0,0,0,172.3
"2,3',5-Trichlorobiphenyl",38444-81-4,26,Congener,38033,C12H7Cl3,257.5,C1=CC(=CC(=C1)Cl)C2=C(C=CC(=C2)Cl)Cl,C1=CC(=CC(=C1)Cl)C2=C(C=CC(=C2)Cl)Cl,"1,4-dichloro-2-(3-chlorophenyl)benzene",5.8,255.961333,255.961333,0,0,0,173.5
"2,3',6-Trichlorobiphenyl",38444-76-7,27,Congener,38030,C12H7Cl3,257.5,C1=CC(=CC(=C1)Cl)C2=C(C=CC=C2Cl)Cl,C1=CC(=CC(=C1)Cl)C2=C(C=CC=C2Cl)Cl,"1,3-dichloro-2-(3-chlorophenyl)benzene",5.7,255.961333,255.961333,0,0,0,172.9
"2,4,4'-Trichlorobiphenyl",7012-37-5,28,Congener,23448,C12H7Cl3,257.5,C1=CC(=CC=C1C2=C(C=C(C=C2)Cl)Cl)Cl,C1=CC(=CC=C1C2=C(C=C(C=C2)Cl)Cl)Cl,"2,4-dichloro-1-(4-chlorophenyl)benzene",5.6,255.961333,255.961333,0,0,0,171.1
"2,4,5-Trichlorobiphenyl",15862-07-4,29,Congener,27514,C12H7Cl3,257.5,C1=CC=C(C=C1)C2=CC(=C(C=C2Cl)Cl)Cl,C1=CC=C(C=C1)C2=CC(=C(C=C2Cl)Cl)Cl,"1,2,4-trichloro-5-phenylbenzene",5.9,255.961333,255.961333,0,0,0,172
"2,4,6-Trichlorobiphenyl",35693-92-6,30,Congener,37247,C12H7Cl3,257.5,C1=CC=C(C=C1)C2=C(C=C(C=C2Cl)Cl)Cl,C1=CC=C(C=C1)C2=C(C=C(C=C2Cl)Cl)Cl,"1,3,5-trichloro-2-phenylbenzene",5.7,255.961333,255.961333,0,0,0,171.7
"2,4',5-Trichlorobiphenyl",16606-02-3,31,Congener,27960,C12H7Cl3,257.5,C1=CC(=CC=C1C2=C(C=CC(=C2)Cl)Cl)Cl,C1=CC(=CC=C1C2=C(C=CC(=C2)Cl)Cl)Cl,"1,4-dichloro-2-(4-chlorophenyl)benzene",5.8,255.961333,255.961333,0,0,0,172.3
"2,4',6-Trichlorobiphenyl",38444-77-8,32,Congener,38031,C12H7Cl3,257.5,C1=CC(=C(C(=C1)Cl)C2=CC=C(C=C2)Cl)Cl,C1=CC(=C(C(=C1)Cl)C2=CC=C(C=C2)Cl)Cl,"1,3-dichloro-2-(4-chlorophenyl)benzene",5.7,255.961333,255.961333,0,0,0,171.8
"2,3',4'-Trichlorobiphenyl",38444-86-9,33,Congener,38036,C12H7Cl3,257.5,C1=CC=C(C(=C1)C2=CC(=C(C=C2)Cl)Cl)Cl,C1=CC=C(C(=C1)C2=CC(=C(C=C2)Cl)Cl)Cl,"1,2-dichloro-4-(2-chlorophenyl)benzene",5.9,255.961333,255.961333,0,0,0,172
"2,3',5'-Trichlorobiphenyl",37680-68-5,34,Congener,37805,C12H7Cl3,257.5,C1=CC=C(C(=C1)C2=CC(=CC(=C2)Cl)Cl)Cl,C1=CC=C(C(=C1)C2=CC(=CC(=C2)Cl)Cl)Cl,"1,3-dichloro-5-(2-chlorophenyl)benzene",5.6,255.961333,255.961333,0,0,0,173.4
"3,3',4-Trichlorobiphenyl",37680-69-6,35,Congener,37806,C12H7Cl3,257.5,C1=CC(=CC(=C1)Cl)C2=CC(=C(C=C2)Cl)Cl,C1=CC(=CC(=C1)Cl)C2=CC(=C(C=C2)Cl)Cl,"1,2-dichloro-4-(3-chlorophenyl)benzene",5.9,255.961333,255.961333,0,0,0,172.3
"3,3',5-Trichlorobiphenyl",38444-87-0,36,Congener,38037,C12H7Cl3,257.5,C1=CC(=CC(=C1)Cl)C2=CC(=CC(=C2)Cl)Cl,C1=CC(=CC(=C1)Cl)C2=CC(=CC(=C2)Cl)Cl,"1,3-dichloro-5-(3-chlorophenyl)benzene",5.8,255.961333,255.961333,0,0,0,173.8
"3,4,4'-Trichlorobiphenyl",38444-90-5,37,Congener,38039,C12H7Cl3,257.5,C1=CC(=CC=C1C2=CC(=C(C=C2)Cl)Cl)Cl,C1=CC(=CC=C1C2=CC(=C(C=C2)Cl)Cl)Cl,"1,2-dichloro-4-(4-chlorophenyl)benzene",5.9,255.961333,255.961333,0,0,0,171.1
"3,4,5-Trichlorobiphenyl",53555-66-1,38,Congener,63099,C12H7Cl3,257.5,C1=CC=C(C=C1)C2=CC(=C(C(=C2)Cl)Cl)Cl,C1=CC=C(C=C1)C2=CC(=C(C(=C2)Cl)Cl)Cl,"1,2,3-trichloro-5-phenylbenzene",6,255.961333,255.961333,0,0,0,172.2
"3,4',5-Trichlorobiphenyl",38444-88-1,39,Congener,38038,C12H7Cl3,257.5,C1=CC(=CC=C1C2=CC(=CC(=C2)Cl)Cl)Cl,C1=CC(=CC=C1C2=CC(=CC(=C2)Cl)Cl)Cl,"1,3-dichloro-5-(4-chlorophenyl)benzene",5.4,255.961333,255.961333,0,0,0,172.6
"2,2',3,3'-Tetrachlorobiphenyl",38444-93-8,40,Congener,38040,C12H6Cl4,292.0,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=CC=C2)Cl)Cl,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=CC=C2)Cl)Cl,"1,2-dichloro-3-(2,3-dichlorophenyl)benzene",6.2,291.919411,289.922361,0,0,0,187.3
"2,2',3,4-Tetrachlorobiphenyl",52663-59-9,41,Congener,40467,C12H6Cl4,292.0,C1=CC=C(C(=C1)C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl,C1=CC=C(C(=C1)C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl,"1,2,3-trichloro-4-(2-chlorophenyl)benzene",6.1,291.919411,289.922361,0,0,0,186.2
"2,2',3,4'-Tetrachlorobiphenyl",36559-22-5,42,Congener,63103,C12H6Cl4,292.0,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=C(C=C2)Cl)Cl,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=C(C=C2)Cl)Cl,"1,2-dichloro-3-(2,4-dichlorophenyl)benzene",6,291.919411,289.922361,0,0,0,186.5
"2,2',3,5-Tetrachlorobiphenyl",70362-46-8,43,Congener,613387,C12H6Cl4,292.0,C1=CC=C(C(=C1)C2=C(C(=CC(=C2)Cl)Cl)Cl)Cl,C1=CC=C(C(=C1)C2=C(C(=CC(=C2)Cl)Cl)Cl)Cl,"1,2,5-trichloro-3-(2-chlorophenyl)benzene",5.8,291.919411,289.922361,0,0,0,187.7
"2,2',3,5'-Tetrachlorobiphenyl",41464-39-5,44,Congener,38875,C12H6Cl4,292.0,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=CC(=C2)Cl)Cl,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=CC(=C2)Cl)Cl,"1,2-dichloro-3-(2,5-dichlorophenyl)benzene",5.8,291.919411,289.922361,0,0,0,187.7
"2,2',3,6-Tetrachlorobiphenyl",70362-45-7,45,Congener,63108,C12H6Cl4,292.0,C1=CC=C(C(=C1)C2=C(C=CC(=C2Cl)Cl)Cl)Cl,C1=CC=C(C(=C1)C2=C(C=CC(=C2Cl)Cl)Cl)Cl,"1,2,4-trichloro-3-(2-chlorophenyl)benzene",5.4,291.919411,289.922361,0,0,0,187
"2,2',3,6'-Tetrachlorobiphenyl",41464-47-5,46,Congener,521055,C12H6Cl4,292.0,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=CC=C2Cl)Cl,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=CC=C2Cl)Cl,"1,2-dichloro-3-(2,6-dichlorophenyl)benzene",5.4,291.919411,289.922361,0,0,0,187
"2,2',4,4'-Tetrachlorobiphenyl",2437-79-8,47,Congener,17097,C12H6Cl4,292.0,C1=CC(=C(C=C1Cl)Cl)C2=C(C=C(C=C2)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)C2=C(C=C(C=C2)Cl)Cl,"2,4-dichloro-1-(2,4-dichlorophenyl)benzene",6.3,291.919411,289.922361,0,0,0,185.7
"2,2',4,5-Tetrachlorobiphenyl",70362-47-9,48,Congener,51041,C12H6Cl4,292.0,C1=CC=C(C(=C1)C2=CC(=C(C=C2Cl)Cl)Cl)Cl,C1=CC=C(C(=C1)C2=CC(=C(C=C2Cl)Cl)Cl)Cl,"1,2,4-trichloro-5-(2-chlorophenyl)benzene",6.6,291.919411,289.922361,0,0,0,186.7
"2,2',4,5'-Tetrachlorobiphenyl",41464-40-8,49,Congener,38876,C12H6Cl4,292.0,C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2)Cl)Cl,"1,4-dichloro-2-(2,4-dichlorophenyl)benzene",6.4,291.919411,289.922361,0,0,0,186.9
"2,2',4,6-Tetrachlorobiphenyl",62796-65-0,50,Congener,44163,C12H6Cl4,292.0,C1=CC=C(C(=C1)C2=C(C=C(C=C2Cl)Cl)Cl)Cl,C1=CC=C(C(=C1)C2=C(C=C(C=C2Cl)Cl)Cl)Cl,"1,3,5-trichloro-2-(2-chlorophenyl)benzene",6.1,291.919411,289.922361,0,0,0,186.1
"2,2',4,6'-Tetrachlorobiphenyl",68194-05-8,51,Congener,50099,C12H5Cl5,326.4,C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,"1,2,4-trichloro-3-(2,4-dichlorophenyl)benzene",6.3,325.880439,323.883389,0,0,0,200.8
"2,2',4,6'-Tetrachlorobiphenyl",68194-05-8,51,Congener,50099,C12H5Cl5,326.4,C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,"1,2,4-trichloro-3-(2,4-dichlorophenyl)benzene",6.3,325.880439,323.883389,0,0,0,200.8
"2,2',4,6'-Tetrachlorobiphenyl",68194-05-8,51,Congener,50099,C12H5Cl5,326.4,C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,"1,2,4-trichloro-3-(2,4-dichlorophenyl)benzene",6.3,325.880439,323.883389,0,0,0,200.8
"2,2',4,6'-Tetrachlorobiphenyl",68194-05-8,51,Congener,50099,C12H5Cl5,326.4,C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,"1,2,4-trichloro-3-(2,4-dichlorophenyl)benzene",6.3,325.880439,323.883389,0,0,0,200.8
"2,2',5,5'-Tetrachlorobiphenyl",35693-99-3,52,Congener,37248,C12H6Cl4,292.0,C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl,C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl,"1,4-dichloro-2-(2,5-dichlorophenyl)benzene",6.1,291.919411,289.922361,0,0,0,188.2
"2,2',5,6'-Tetrachlorobiphenyl",41464-41-9,53,Congener,38877,C12H6Cl4,292.0,C1=CC(=C(C(=C1)Cl)C2=C(C=CC(=C2)Cl)Cl)Cl,C1=CC(=C(C(=C1)Cl)C2=C(C=CC(=C2)Cl)Cl)Cl,"1,3-dichloro-2-(2,5-dichlorophenyl)benzene",5.6,291.919411,289.922361,0,0,0,187.3
"2,2',6,6'-Tetrachlorobiphenyl",15968-05-5,54,Congener,27588,C12H6Cl4,292.0,C1=CC(=C(C(=C1)Cl)C2=C(C=CC=C2Cl)Cl)Cl,C1=CC(=C(C(=C1)Cl)C2=C(C=CC=C2Cl)Cl)Cl,"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",5.9,291.919411,289.922361,0,0,0,186.7
"2,3,3',4-Tetrachlorobiphenyl",74338-24-2,55,Congener,63102,C12H6Cl4,292.0,C1=CC(=CC(=C1)Cl)C2=C(C(=C(C=C2)Cl)Cl)Cl,C1=CC(=CC(=C1)Cl)C2=C(C(=C(C=C2)Cl)Cl)Cl,"1,2,3-trichloro-4-(3-chlorophenyl)benzene",6.2,291.919411,289.922361,0,0,0,186.6
"2,3,3',4'-Tetrachlorobiphenyl",41464-43-1,56,Congener,38879,C12H6Cl4,292.0,C1=CC(=C(C(=C1)Cl)Cl)C2=CC(=C(C=C2)Cl)Cl,C1=CC(=C(C(=C1)Cl)Cl)C2=CC(=C(C=C2)Cl)Cl,"1,2-dichloro-3-(3,4-dichlorophenyl)benzene",6,291.919411,289.922361,0,0,0,186.7
"2,3,3',5-Tetrachlorobiphenyl",70424-67-8,57,Congener,91705,C12H6Cl4,292.0,C1=CC(=CC(=C1)Cl)C2=C(C(=CC(=C2)Cl)Cl)Cl,C1=CC(=CC(=C1)Cl)C2=C(C(=CC(=C2)Cl)Cl)Cl,"1,2,5-trichloro-3-(3-chlorophenyl)benzene",6.2,291.919411,289.922361,0,0,0,188.2
"2,3,3',5'-Tetrachlorobiphenyl",41464-49-7,58,Congener,63109,C12H6Cl4,292.0,C1=CC(=C(C(=C1)Cl)Cl)C2=CC(=CC(=C2)Cl)Cl,C1=CC(=C(C(=C1)Cl)Cl)C2=CC(=CC(=C2)Cl)Cl,"1,2-dichloro-3-(3,5-dichlorophenyl)benzene",6.2,291.919411,289.922361,0,0,0,188.1
"2,3,3',6-Tetrachlorobiphenyl",74472-33-6,59,Congener,91718,C12H6Cl4,292.0,C1=CC(=CC(=C1)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,C1=CC(=CC(=C1)Cl)C2=C(C=CC(=C2Cl)Cl)Cl,"1,2,4-trichloro-3-(3-chlorophenyl)benzene",6.3,291.919411,289.922361,0,0,0,187.6
"2,3,4,4'-Tetrachlorobiphenyl",33025-41-1,60,Congener,36304,C12H6Cl4,292.0,C1=CC(=CC=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl,C1=CC(=CC=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl,"1,2,3-trichloro-4-(4-chlorophenyl)benzene",6.5,291.919411,289.922361,0,0,0,185.4
"2,3,4,5-Tetrachlorobiphenyl",33284-53-6,61,Congener,36401,C12H6Cl4,292.0,C1=CC=C(C=C1)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl,C1=CC=C(C=C1)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl,"1,2,3,4-tetrachloro-5-phenylbenzene",6.4,291.919411,289.922361,0,0,0,186.4
"2,3,4,6-Tetrachlorobiphenyl",54230-22-7,62,Congener,63105,C12H6Cl4,292.0,C1=CC=C(C=C1)C2=C(C(=C(C=C2Cl)Cl)Cl)Cl,C1=CC=C(C=C1)C2=C(C(=C(C=C2Cl)Cl)Cl)Cl,"1,2,3,5-tetrachloro-4-phenylbenzene",5.8,291.919411,289.922361,0,0,0,186.1
"2,3,4',5-Tetrachlorobiphenyl",74472-34-7,63,Congener,53035,C12H6Cl4,292.0,C1=CC(=CC=C1C2=C(C(=CC(=C2)Cl)Cl)Cl)Cl,C1=CC(=CC=C1C2=C(C(=CC(=C2)Cl)Cl)Cl)Cl,"1,2,5-trichloro-3-(4-chlorophenyl)benzene",6.2,291.919411,289.922361,0,0,0,187
"2,3,4',6-Tetrachlorobiphenyl",52663-58-8,64,Congener,63110,C12H6Cl4,292.0,C1=CC(=CC=C1C2=C(C=CC(=C2Cl)Cl)Cl)Cl,C1=CC(=CC=C1C2=C(C=CC(=C2Cl)Cl)Cl)Cl,"1,2,4-trichloro-3-(4-chlorophenyl)benzene",6.3,291.919411,289.922361,0,0,0,186.4
"2,3,5,6-Tetrachlorobiphenyl",33284-54-7,65,Congener,36402,C12H6Cl4,292.0,C1=CC=C(C=C1)C2=C(C(=CC(=C2Cl)Cl)Cl)Cl,C1=CC=C(C=C1)C2=C(C(=CC(=C2Cl)Cl)Cl)Cl,"1,2,4,5-tetrachloro-3-phenylbenzene",5.9,291.919411,289.922361,0,0,0,187.3
"2,3',4,4'-Tetrachlorobiphenyl",32598-10-0,66,Congener,36185,C12H6Cl4,292.0,C1=CC(=C(C=C1C2=C(C=C(C=C2)Cl)Cl)Cl)Cl,C1=CC(=C(C=C1C2=C(C=C(C=C2)Cl)Cl)Cl)Cl,"1,2-dichloro-4-(2,4-dichlorophenyl)benzene",6.3,291.919411,289.922361,0,0,0,185.8
"2,3',4,5-Tetrachlorobiphenyl",73575-53-8,67,Congener,91717,C12H6Cl4,292.0,C1=CC(=CC(=C1)Cl)C2=CC(=C(C=C2Cl)Cl)Cl,C1=CC(=CC(=C1)Cl)C2=CC(=C(C=C2Cl)Cl)Cl,"1,2,4-trichloro-5-(3-chlorophenyl)benzene",6.5,291.919411,289.922361,0,0,0,187
"2,3',4,5'-Tetrachlorobiphenyl",73575-52-7,68,Congener,51821,C12H6Cl4,292.0,C1=CC(=C(C=C1Cl)Cl)C2=CC(=CC(=C2)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)C2=CC(=CC(=C2)Cl)Cl,"1,3-dichloro-5-(2,4-dichlorophenyl)benzene",6.6,291.919411,289.922361,0,0,0,187.2
"2,3',4,6-Tetrachlorobiphenyl",60233-24-1,69,Congener,91674,C12H6Cl4,292.0,C1=CC(=CC(=C1)Cl)C2=C(C=C(C=C2Cl)Cl)Cl,C1=CC(=CC(=C1)Cl)C2=C(C=C(C=C2Cl)Cl)Cl,"1,3,5-trichloro-2-(3-chlorophenyl)benzene",6.3,291.919411,289.922361,0,0,0,186.7
"2,3',4',5-Tetrachlorobiphenyl",32598-11-1,70,Congener,36186,C12H6Cl4,292.0,C1=CC(=C(C=C1C2=C(C=CC(=C2)Cl)Cl)Cl)Cl,C1=CC(=C(C=C1C2=C(C=CC(=C2)Cl)Cl)Cl)Cl,"1,2-dichloro-4-(2,5-dichlorophenyl)benzene",6.2,291.919411,289.922361,0,0,0,187
"2,3',4',6-Tetrachlorobiphenyl",41464-46-4,71,Congener,38880,C12H6Cl4,292.0,C1=CC(=C(C(=C1)Cl)C2=CC(=C(C=C2)Cl)Cl)Cl,C1=CC(=C(C(=C1)Cl)C2=CC(=C(C=C2)Cl)Cl)Cl,"1,2-dichloro-4-(2,6-dichlorophenyl)benzene",6.5,291.919411,289.922361,0,0,0,186.4
"2,3',5,5'-Tetrachlorobiphenyl",41464-42-0,72,Congener,38878,C12H6Cl4,292.0,C1=CC(=C(C=C1Cl)C2=CC(=CC(=C2)Cl)Cl)Cl,C1=CC(=C(C=C1Cl)C2=CC(=CC(=C2)Cl)Cl)Cl,"1,3-dichloro-5-(2,5-dichlorophenyl)benzene",6.4,291.919411,289.922361,0,0,0,188.5
"2,3',5',6-Tetrachlorobiphenyl",74338-23-1,73,Congener,63100,C12H6Cl4,292.0,C1=CC(=C(C(=C1)Cl)C2=CC(=CC(=C2)Cl)Cl)Cl,C1=CC(=C(C(=C1)Cl)C2=CC(=CC(=C2)Cl)Cl)Cl,"1,3-dichloro-2-(3,5-dichlorophenyl)benzene",6.1,291.919411,289.922361,0,0,0,187.9
